Letter,Unigram,Prefix,Suffix
A,<qol>,<olch>,<air>
B,<otchdy>,<dor>,<oy>
C,<lkaiin>,<y>,<aiiin>
D,<lkain>,<otsh>,<dol>
E,<dar>,<ol>,<ol>
F,<otchey>,<ly>,<daiiin>
G,<otchy>,<ssh>,<saiin>
H,<otchedy>,<aly>,<eaiin>
I,<shey>,<qot>,<eor>
L,<otal>,<sch>,<edol>
M,<otar>,<shcth>,<dain>
N,<dain>,<okch>,<oiin>
O,<ain>,<lt>,<eeedy>
P,<oty>,<qolk>,<eeod>
Q,<otol>,<dary>,<edaiiin>
R,<oteedy>,<qopch>,<s>
S,<oteey>,<sol>,<edal>
T,<otaiin>,<od>,<edaiin>
U,<otain>,<p>,<eeol>
V,<otey>,<sar>,<sdy>
X,<otor>,<do>,<ery>
Y,<otdy>,<olpch>,<osy>
Z,<oteeedy>,<om>,<eda>
